id;age;job;marital;education;housing;contact;month;duration;campaign;y
118609;44;admin.;married;university.degree;yes;telephone;may;188;1;no
177953;42;technician;single;professional.course;no;telephone;may;22;1;no
194532;57;admin.;married;university.degree;yes;telephone;may;616;1;no
156031;40;blue-collar;married;basic.9y;no;telephone;may;178;1;no
195654;35;admin.;married;university.degree;yes;telephone;may;355;1;no
109203;45;blue-collar;married;basic.9y;yes;telephone;may;225;2;no
162887;54;admin.;married;high.school;no;telephone;may;160;1;no
100708;39;housemaid;married;basic.4y;no;telephone;may;266;1;no
177543;60;admin.;married;high.school;no;telephone;may;253;1;no
174546;53;admin.;single;professional.course;no;telephone;may;179;1;no
102967;55;blue-collar;married;basic.4y;no;telephone;may;269;2;no
186825;55;technician;married;professional.course;yes;telephone;may;135;1;no
106272;50;management;married;university.degree;no;telephone;may;161;1;no
120583;45;services;married;high.school;yes;telephone;may;787;1;no
191987;55;unemployed;married;professional.course;yes;telephone;may;145;1;no
110413;25;technician;single;university.degree;yes;telephone;may;174;1;no
170329;47;entrepreneur;married;university.degree;no;telephone;may;449;1;no
123279;51;blue-collar;married;basic.9y;yes;telephone;may;812;1;no
135305;42;blue-collar;married;basic.6y;yes;telephone;may;164;1;no
144433;42;blue-collar;married;basic.6y;no;telephone;may;366;1;no
154736;48;admin.;married;high.school;no;telephone;may;357;1;no
167133;37;admin.;married;university.degree;no;telephone;may;232;1;no
132945;44;blue-collar;single;basic.9y;yes;telephone;may;91;1;no
186282;33;admin.;married;unknown;yes;telephone;may;273;1;no
110036;56;admin.;married;basic.9y;yes;telephone;may;158;2;no
124272;44;blue-collar;single;basic.4y;yes;telephone;may;177;1;no
160666;41;management;married;basic.6y;no;telephone;may;200;1;no
125080;44;management;divorced;university.degree;yes;telephone;may;172;1;no
198233;47;admin.;married;university.degree;yes;telephone;may;176;1;no
158285;57;unknown;married;unknown;no;telephone;may;211;1;no
139546;37;admin.;married;university.degree;yes;telephone;may;214;1;no
103201;41;blue-collar;divorced;basic.4y;yes;telephone;may;1575;1;yes
187248;55;technician;married;university.degree;no;telephone;may;349;1;no
102159;33;services;married;high.school;yes;telephone;may;337;2;no
182870;55;management;married;unknown;yes;telephone;may;272;1;no
164632;42;blue-collar;married;basic.9y;no;telephone;may;208;1;no
172143;50;blue-collar;married;basic.4y;yes;telephone;may;193;1;no
160400;51;blue-collar;married;basic.4y;unknown;telephone;may;212;1;no
186234;38;admin.;married;high.school;no;telephone;may;165;2;no
142354;49;entrepreneur;married;university.degree;yes;telephone;may;1042;1;yes
144355;38;technician;single;university.degree;no;telephone;may;20;1;no
149507;31;admin.;divorced;high.school;no;telephone;may;246;1;no
181924;41;management;married;basic.6y;no;telephone;may;529;2;no
111788;39;admin.;married;university.degree;yes;telephone;may;192;1;no
197896;49;technician;married;basic.9y;no;telephone;may;1467;1;yes
199214;34;admin.;married;high.school;yes;telephone;may;188;2;no
136029;35;admin.;married;university.degree;yes;telephone;may;180;2;no
149058;57;unknown;married;unknown;yes;telephone;may;48;1;no
176817;60;admin.;married;unknown;no;telephone;may;213;2;no
178469;33;unemployed;married;basic.9y;no;telephone;may;545;1;no
123295;42;blue-collar;married;basic.6y;no;telephone;may;583;1;no
136393;45;services;married;professional.course;yes;telephone;may;221;1;no
194755;42;management;married;university.degree;no;telephone;may;426;1;no
179634;53;admin.;divorced;university.degree;no;telephone;may;287;1;no
195757;37;technician;single;professional.course;no;telephone;may;197;1;no
147245;44;blue-collar;married;basic.6y;no;telephone;may;257;1;no
119448;54;services;married;unknown;yes;telephone;may;229;1;no
185393;49;blue-collar;married;basic.4y;no;telephone;may;55;3;no
186260;54;services;married;unknown;no;telephone;may;400;1;no
128945;52;admin.;divorced;university.degree;no;telephone;may;197;1;no
159759;52;admin.;divorced;university.degree;no;telephone;may;190;1;no
163429;43;services;single;high.school;no;telephone;may;21;1;no
167441;34;housemaid;married;basic.6y;yes;telephone;may;300;2;no
174129;35;admin.;married;high.school;yes;telephone;may;123;2;no
165484;42;entrepreneur;married;unknown;yes;telephone;may;293;1;no
100356;43;technician;married;unknown;yes;telephone;may;325;1;no
124393;60;retired;divorced;university.degree;no;telephone;may;514;1;no
198809;58;unemployed;married;basic.4y;no;telephone;may;849;2;no
101790;35;services;divorced;high.school;yes;telephone;may;194;1;no
161118;55;blue-collar;married;basic.9y;yes;telephone;may;212;2;no
175255;37;management;married;university.degree;no;telephone;may;337;2;no
162838;36;blue-collar;married;high.school;no;telephone;may;286;1;no
133874;52;admin.;divorced;university.degree;no;telephone;may;247;2;no
128883;57;blue-collar;divorced;unknown;yes;telephone;may;518;1;no
193593;56;admin.;married;unknown;yes;telephone;may;364;1;no
103322;48;blue-collar;divorced;basic.4y;yes;telephone;may;178;1;no
192283;40;blue-collar;married;high.school;yes;telephone;may;98;1;no
165795;49;blue-collar;divorced;high.school;no;telephone;may;439;1;no
197000;41;services;married;high.school;no;telephone;may;139;1;no
109671;45;technician;married;high.school;yes;telephone;may;79;1;no
117682;32;admin.;married;university.degree;yes;telephone;may;175;1;no
156459;42;admin.;married;university.degree;no;telephone;may;262;2;no
115474;50;admin.;married;basic.6y;no;telephone;may;61;1;no
197405;31;technician;divorced;professional.course;yes;telephone;may;78;1;no
186374;56;retired;married;basic.4y;yes;telephone;may;102;2;no
177600;41;technician;married;professional.course;yes;telephone;may;579;1;yes
103926;37;blue-collar;married;basic.6y;yes;telephone;may;143;1;no
137879;41;technician;married;professional.course;no;telephone;may;677;1;no
143332;35;blue-collar;married;unknown;yes;telephone;may;267;1;no
172819;37;blue-collar;married;basic.6y;yes;telephone;may;345;1;no
180264;52;management;married;university.degree;no;telephone;may;185;1;no
181402;39;management;divorced;university.degree;no;telephone;may;207;1;no
197856;39;housemaid;married;basic.4y;no;telephone;may;69;2;no
168263;56;blue-collar;married;basic.4y;no;telephone;may;100;2;no
146987;34;services;married;high.school;yes;telephone;may;125;2;no
185723;45;blue-collar;married;basic.9y;yes;telephone;may;461;1;yes
110684;43;unemployed;single;university.degree;yes;telephone;may;240;1;no
193826;56;management;married;unknown;yes;telephone;may;70;1;no
142400;39;management;married;university.degree;yes;telephone;may;193;1;no
121080;53;blue-collar;married;basic.4y;yes;telephone;may;136;1;no
191967;38;unknown;divorced;high.school;yes;telephone;may;73;1;no
180954;42;blue-collar;married;basic.4y;yes;telephone;may;528;1;no
153682;42;blue-collar;married;basic.4y;no;telephone;may;541;1;no
181757;35;admin.;single;high.school;yes;telephone;may;338;1;no
197963;40;admin.;married;university.degree;yes;telephone;may;163;1;no
188566;51;blue-collar;married;basic.4y;yes;telephone;may;87;1;no
130216;60;blue-collar;married;basic.9y;no;telephone;may;301;1;no
147280;56;entrepreneur;married;unknown;yes;telephone;may;46;1;no
142197;39;services;divorced;high.school;yes;telephone;may;52;1;no
168983;56;entrepreneur;married;unknown;no;telephone;may;204;1;no
136726;40;blue-collar;married;unknown;yes;telephone;may;155;1;no
120950;36;blue-collar;married;basic.9y;yes;telephone;may;98;1;no
109930;51;blue-collar;married;unknown;yes;telephone;may;71;1;no
165243;51;blue-collar;married;unknown;no;telephone;may;243;1;no
140123;43;technician;single;professional.course;yes;telephone;may;186;2;no
116184;59;services;married;high.school;no;telephone;may;579;2;no
183019;24;management;single;university.degree;yes;telephone;may;165;2;no
127912;37;blue-collar;single;basic.9y;yes;telephone;may;163;2;no
198864;40;blue-collar;married;basic.9y;no;telephone;may;46;1;no
105893;42;blue-collar;married;basic.9y;no;telephone;may;559;3;no
100769;39;services;divorced;high.school;no;telephone;may;2033;1;no
156483;37;entrepreneur;married;basic.6y;no;telephone;may;85;1;no
145845;38;services;married;high.school;yes;telephone;may;506;1;no
143078;56;admin.;divorced;unknown;no;telephone;may;114;2;no
109506;40;blue-collar;married;unknown;no;telephone;may;114;2;no
185830;54;management;divorced;university.degree;yes;telephone;may;843;2;no
119235;43;blue-collar;married;high.school;no;telephone;may;181;1;no
122698;36;services;married;high.school;no;telephone;may;427;1;no
183895;45;technician;married;university.degree;yes;telephone;may;292;1;no
181519;42;admin.;single;university.degree;no;telephone;may;192;1;no
139481;43;services;married;high.school;no;telephone;may;93;3;no
146499;46;management;married;basic.9y;no;telephone;may;128;2;no
197255;44;services;married;high.school;yes;telephone;may;107;1;no
102381;51;admin.;single;basic.6y;no;telephone;may;303;2;no
181112;28;services;married;high.school;yes;telephone;may;81;1;no
140618;37;blue-collar;married;basic.9y;no;telephone;may;270;1;no
103939;34;technician;married;high.school;no;telephone;may;228;1;no
191230;46;blue-collar;married;basic.6y;yes;telephone;may;240;1;no
187766;42;blue-collar;married;basic.9y;yes;telephone;may;673;2;yes
172436;36;admin.;married;university.degree;yes;telephone;may;233;3;no
199362;54;blue-collar;married;basic.4y;no;telephone;may;102;1;no
139035;57;management;married;university.degree;no;telephone;may;461;1;no
135939;51;technician;married;basic.6y;no;telephone;may;250;1;no
137106;54;retired;married;high.school;no;telephone;may;130;1;no
101322;49;blue-collar;married;basic.4y;no;telephone;may;252;1;no
132818;34;admin.;married;university.degree;yes;telephone;may;138;1;no
157175;41;technician;married;professional.course;no;telephone;may;412;1;no
175431;38;blue-collar;single;basic.9y;yes;telephone;may;179;2;no
182399;45;management;divorced;university.degree;no;telephone;may;19;2;no
182042;42;technician;married;university.degree;no;telephone;may;228;2;no
152055;34;blue-collar;single;basic.9y;yes;telephone;may;55;1;no
130355;48;blue-collar;married;basic.4y;yes;telephone;may;717;1;no
118443;37;admin.;married;high.school;yes;telephone;may;313;1;no
128964;34;blue-collar;single;basic.9y;no;telephone;may;289;1;no
166014;40;admin.;married;basic.9y;yes;telephone;may;683;2;no
175212;43;blue-collar;married;basic.6y;yes;telephone;may;1077;1;no
199361;33;services;married;high.school;no;telephone;may;146;2;no
170032;32;services;single;basic.6y;no;telephone;may;167;1;no
167392;39;blue-collar;married;high.school;yes;telephone;may;356;2;no
124428;43;admin.;married;unknown;no;telephone;may;277;1;no
102541;44;blue-collar;married;basic.9y;yes;telephone;may;172;1;no
120605;35;student;single;university.degree;no;telephone;may;218;1;no
170049;35;student;single;university.degree;yes;telephone;may;217;1;no
149331;35;unemployed;married;professional.course;no;telephone;may;67;1;no
157517;36;services;single;basic.4y;no;telephone;may;291;1;no
123242;35;student;single;university.degree;yes;telephone;may;248;1;no
118985;36;student;single;basic.9y;yes;telephone;may;256;1;no
112696;55;housemaid;divorced;university.degree;no;telephone;may;286;1;no
106235;59;admin.;married;university.degree;no;telephone;may;477;1;no
196314;57;retired;married;unknown;no;telephone;may;611;2;no
175401;39;blue-collar;married;professional.course;yes;telephone;may;471;1;no
165516;39;housemaid;married;basic.4y;yes;telephone;may;381;2;no
130869;30;blue-collar;single;unknown;yes;telephone;may;251;1;no
104342;30;blue-collar;single;unknown;yes;telephone;may;408;1;no
185375;50;housemaid;married;basic.4y;no;telephone;may;287;1;no
119615;40;services;married;high.school;no;telephone;may;322;3;no
191221;35;admin.;married;high.school;yes;telephone;may;216;2;no
166788;43;technician;married;unknown;no;telephone;may;366;2;no
152961;36;services;single;basic.6y;yes;telephone;may;210;1;no
192939;46;technician;married;basic.4y;yes;telephone;may;288;1;no
133260;40;technician;married;basic.9y;no;telephone;may;168;1;no
197550;58;retired;married;university.degree;no;telephone;may;132;1;no
156578;42;technician;married;university.degree;no;telephone;may;64;2;no
156486;35;admin.;single;university.degree;no;telephone;may;209;2;no
136856;43;retired;married;basic.4y;no;telephone;may;410;3;no
133151;45;blue-collar;married;basic.4y;yes;telephone;may;177;1;no
130723;39;admin.;married;professional.course;yes;telephone;may;580;2;no
131646;50;services;divorced;professional.course;yes;telephone;may;165;1;no
199655;32;management;divorced;basic.4y;yes;telephone;may;127;2;no
169969;39;admin.;married;high.school;no;telephone;may;357;1;no
159992;52;self-employed;married;university.degree;no;telephone;may;175;1;no
110669;44;admin.;married;professional.course;yes;telephone;may;300;1;no
169826;56;blue-collar;married;basic.4y;no;telephone;may;136;1;no
118914;48;admin.;married;high.school;no;telephone;may;125;2;no
193778;33;services;married;high.school;no;telephone;may;189;2;no
166367;43;management;married;university.degree;no;telephone;may;213;3;no
110401;57;retired;married;high.school;no;telephone;may;238;2;no
137003;36;technician;single;professional.course;no;telephone;may;124;1;no
145762;34;management;married;university.degree;yes;telephone;may;18;1;no
187697;34;services;single;basic.9y;no;telephone;may;730;2;no
150410;30;technician;married;university.degree;no;telephone;may;40;1;no
119376;33;services;divorced;unknown;no;telephone;may;181;2;no
161651;32;technician;single;professional.course;no;telephone;may;79;1;no
127227;36;technician;single;high.school;yes;telephone;may;142;2;no
117993;36;blue-collar;single;high.school;no;telephone;may;389;1;no
121974;33;services;single;high.school;no;telephone;may;702;1;no
131275;40;technician;divorced;professional.course;no;telephone;may;151;1;no
105896;41;blue-collar;married;basic.4y;yes;telephone;may;211;1;no
104343;51;services;married;basic.6y;yes;telephone;may;117;1;no
114514;36;technician;married;professional.course;yes;telephone;may;232;3;no
120645;28;services;married;unknown;no;telephone;may;408;2;no
153403;53;services;married;high.school;yes;telephone;may;370;3;no
127793;58;blue-collar;married;basic.9y;yes;telephone;may;179;2;no
140569;45;management;married;basic.9y;no;telephone;may;46;1;no
177472;43;technician;married;unknown;yes;telephone;may;200;1;no
160832;33;admin.;married;high.school;no;telephone;may;50;1;no
170140;33;admin.;married;high.school;no;telephone;may;181;1;no
168614;27;blue-collar;single;basic.6y;unknown;telephone;may;119;1;no
103044;42;technician;married;high.school;no;telephone;may;361;1;no
164948;43;admin.;divorced;basic.9y;no;telephone;may;73;3;no
172595;42;admin.;married;university.degree;no;telephone;may;67;2;no
118700;27;blue-collar;single;basic.6y;no;telephone;may;350;1;no
145897;34;self-employed;single;university.degree;yes;telephone;may;150;2;no
165015;31;student;single;university.degree;no;telephone;may;332;2;no
121830;54;management;divorced;university.degree;no;telephone;may;611;2;no
128152;40;self-employed;married;basic.4y;no;telephone;may;58;3;no
129247;52;unemployed;married;high.school;yes;telephone;may;151;1;no
150239;47;management;divorced;university.degree;no;telephone;may;89;2;no
186571;49;housemaid;married;basic.9y;no;telephone;may;152;1;no
129286;32;admin.;single;high.school;no;telephone;may;611;2;no
160998;49;housemaid;single;high.school;yes;telephone;may;110;2;no
161745;50;blue-collar;married;basic.9y;no;telephone;may;463;1;no
163007;34;services;married;high.school;no;telephone;may;962;1;no
115110;55;blue-collar;married;basic.4y;no;telephone;may;102;2;no
171669;47;technician;single;basic.9y;no;telephone;may;10;4;no
157568;51;retired;married;professional.course;no;telephone;may;118;3;no
146383;47;blue-collar;married;basic.6y;no;telephone;may;92;2;no
103530;56;technician;married;basic.4y;yes;telephone;may;143;3;no
134304;53;admin.;married;basic.9y;no;telephone;may;189;3;no
128160;36;blue-collar;married;basic.9y;yes;telephone;may;75;2;no
159281;42;blue-collar;divorced;basic.9y;yes;telephone;may;189;2;no
199150;44;blue-collar;divorced;basic.6y;no;telephone;may;55;2;no
108916;39;housemaid;married;basic.9y;yes;telephone;may;935;3;yes
140704;37;admin.;single;high.school;yes;telephone;may;56;2;no
133311;60;blue-collar;married;unknown;yes;telephone;may;5;2;no
140966;36;services;married;high.school;no;telephone;may;225;2;no
157638;42;management;divorced;university.degree;yes;telephone;may;125;2;no
177957;31;admin.;married;high.school;yes;telephone;may;286;2;no
134080;53;technician;divorced;professional.course;no;telephone;may;206;2;no
122104;45;blue-collar;married;basic.4y;yes;telephone;may;164;2;no
139461;37;technician;single;professional.course;yes;telephone;may;98;2;no
145258;47;self-employed;married;professional.course;no;telephone;may;446;2;no
151469;49;blue-collar;divorced;high.school;no;telephone;may;742;2;no
154675;36;admin.;married;university.degree;yes;telephone;may;120;2;no
121929;35;services;divorced;high.school;no;telephone;may;122;3;no
156557;38;unknown;married;unknown;no;telephone;may;362;4;no
192599;38;services;single;high.school;no;telephone;may;357;2;no
166572;50;blue-collar;divorced;high.school;no;telephone;may;200;2;no
171002;59;retired;married;professional.course;no;telephone;may;107;2;no
124274;43;unknown;married;unknown;yes;telephone;may;267;2;no
106874;42;admin.;married;high.school;yes;telephone;may;248;2;no
130495;40;admin.;married;basic.6y;yes;telephone;may;215;2;no
163896;46;blue-collar;married;unknown;no;telephone;may;209;2;no
100259;57;housemaid;divorced;basic.4y;yes;telephone;may;205;2;no
142121;42;admin.;married;university.degree;yes;telephone;may;261;3;no
111770;41;blue-collar;married;basic.4y;yes;telephone;may;83;2;no
171194;54;management;divorced;university.degree;yes;telephone;may;106;3;no
135838;27;admin.;single;university.degree;no;telephone;may;106;2;no
126523;36;admin.;married;high.school;no;telephone;may;108;2;no
163020;58;blue-collar;married;professional.course;yes;telephone;may;214;2;no
110667;40;management;married;university.degree;yes;telephone;may;358;2;no
128437;34;admin.;single;basic.9y;no;telephone;may;453;2;no
111457;33;admin.;divorced;high.school;no;telephone;may;364;2;no
136916;56;retired;married;basic.6y;no;telephone;may;136;2;no
129809;42;blue-collar;married;basic.9y;no;telephone;may;173;2;no
118302;43;services;married;high.school;yes;telephone;may;241;2;no
108268;54;management;single;basic.9y;yes;telephone;may;224;3;no
146572;53;admin.;single;basic.6y;yes;telephone;may;148;2;no
128155;42;technician;single;unknown;no;telephone;may;230;2;no
104797;40;services;married;basic.6y;no;telephone;may;199;3;no
143769;54;technician;married;professional.course;yes;telephone;may;196;2;no
121616;40;housemaid;single;professional.course;no;telephone;may;111;4;no
145613;26;admin.;single;university.degree;yes;telephone;may;231;3;no
182252;33;admin.;married;high.school;no;telephone;may;316;3;no
163078;35;blue-collar;married;basic.9y;no;telephone;may;240;2;no
142051;36;admin.;married;high.school;no;telephone;may;669;3;no
165718;29;services;single;high.school;yes;telephone;may;425;2;no
156774;36;blue-collar;married;basic.9y;yes;telephone;may;121;2;no
152854;35;management;married;high.school;yes;telephone;may;174;5;no
152624;50;self-employed;single;university.degree;no;telephone;may;88;5;no
156333;46;services;married;high.school;yes;telephone;may;313;3;no
141746;49;entrepreneur;married;high.school;yes;telephone;may;135;4;no
125338;42;technician;single;professional.course;yes;telephone;may;152;2;no
131361;36;blue-collar;single;high.school;yes;telephone;may;402;3;no
147583;55;blue-collar;married;basic.9y;yes;telephone;may;221;2;no
191385;41;management;married;university.degree;no;telephone;may;213;2;no
114565;57;management;married;professional.course;yes;telephone;may;144;3;no
183387;32;services;single;high.school;yes;telephone;may;158;3;no
138929;49;admin.;married;basic.9y;no;telephone;may;220;3;no
199012;57;unknown;married;unknown;yes;telephone;may;325;2;no
107254;58;blue-collar;divorced;basic.4y;yes;telephone;may;254;2;no
129659;52;technician;married;high.school;yes;telephone;may;503;2;no
177942;50;services;divorced;professional.course;no;telephone;may;680;2;no
104332;41;blue-collar;single;basic.9y;yes;telephone;may;421;4;no
176954;33;entrepreneur;married;university.degree;yes;telephone;may;130;3;no
188968;57;blue-collar;married;basic.4y;no;telephone;may;164;2;no
192837;48;blue-collar;married;basic.6y;no;telephone;may;174;3;no
125704;55;technician;married;professional.course;no;telephone;may;113;2;no
155677;38;management;married;university.degree;no;telephone;may;195;2;no
125441;38;services;married;high.school;yes;telephone;may;347;3;no
160659;53;admin.;married;university.degree;yes;telephone;may;208;2;no
125994;43;unemployed;single;university.degree;no;telephone;may;404;4;no
179815;36;blue-collar;single;high.school;no;telephone;may;396;2;no
126396;32;blue-collar;married;basic.9y;no;telephone;may;98;2;no
102012;33;services;married;basic.4y;no;telephone;may;229;3;no
111313;58;entrepreneur;married;basic.4y;yes;telephone;may;350;2;no
171090;40;unemployed;divorced;high.school;no;telephone;may;88;3;no
107028;57;management;married;university.degree;yes;telephone;may;379;2;no
118892;45;technician;married;high.school;yes;telephone;may;168;3;no
142300;42;blue-collar;married;basic.4y;yes;telephone;may;190;3;no
198257;46;admin.;married;university.degree;yes;telephone;may;158;1;no
141241;36;technician;married;university.degree;no;telephone;may;210;1;no
145732;41;self-employed;married;high.school;yes;telephone;may;102;1;no
110538;57;admin.;divorced;basic.9y;no;telephone;may;306;1;no
139498;49;blue-collar;married;basic.9y;yes;telephone;may;64;1;no
179135;56;management;divorced;high.school;no;telephone;may;218;1;no
179992;37;blue-collar;married;basic.9y;no;telephone;may;77;1;no
196988;37;blue-collar;married;basic.9y;no;telephone;may;54;1;no
146602;46;admin.;single;high.school;yes;telephone;may;344;1;no
153321;22;blue-collar;single;basic.9y;yes;telephone;may;195;1;no
122443;43;services;married;high.school;no;telephone;may;202;1;no
123398;49;blue-collar;married;unknown;no;telephone;may;286;1;no
171511;41;technician;married;basic.6y;yes;telephone;may;278;1;no
172255;38;admin.;single;university.degree;no;telephone;may;189;1;no
172106;33;admin.;married;basic.9y;no;telephone;may;83;1;no
132036;49;admin.;married;university.degree;yes;telephone;may;18;1;no
154186;30;blue-collar;single;unknown;no;telephone;may;184;2;no
158212;33;admin.;married;basic.9y;yes;telephone;may;235;1;no
165377;34;management;single;university.degree;no;telephone;may;290;1;no
167774;30;student;single;unknown;no;telephone;may;133;1;no
100501;59;management;married;basic.4y;yes;telephone;may;318;1;no
121881;59;management;married;basic.4y;unknown;telephone;may;437;1;no
153346;41;self-employed;married;university.degree;no;telephone;may;402;1;no
199746;48;housemaid;married;basic.6y;yes;telephone;may;501;4;no
110190;28;unknown;single;unknown;yes;telephone;may;1201;1;yes
142419;44;services;married;high.school;yes;telephone;may;1030;1;yes
181457;59;retired;unknown;university.degree;no;telephone;may;253;1;no
113154;50;management;married;high.school;no;telephone;may;149;1;no
143049;35;admin.;married;university.degree;no;telephone;may;144;1;no
119645;42;admin.;married;high.school;no;telephone;may;69;1;no
194823;45;admin.;married;basic.9y;no;telephone;may;243;1;no
151437;36;technician;married;professional.course;no;telephone;may;769;2;no
180757;56;services;married;high.school;no;telephone;may;135;3;no
133990;29;blue-collar;divorced;basic.4y;no;telephone;may;231;1;no
133660;41;self-employed;married;university.degree;yes;telephone;may;442;2;no
102456;42;blue-collar;married;basic.9y;no;telephone;may;199;1;no
138370;52;services;single;high.school;no;telephone;may;455;1;no
118676;48;services;married;high.school;unknown;telephone;may;152;1;no
186008;31;blue-collar;married;high.school;yes;telephone;may;124;1;no
116113;43;unemployed;married;university.degree;yes;telephone;may;424;1;no
146847;36;blue-collar;married;basic.4y;no;telephone;may;43;1;no
164172;42;entrepreneur;married;university.degree;yes;telephone;may;154;1;no
148923;52;services;divorced;basic.6y;no;telephone;may;393;1;no
133574;39;admin.;married;high.school;yes;telephone;may;203;2;no
101098;36;services;married;high.school;no;telephone;may;140;2;no
174405;42;blue-collar;married;basic.9y;yes;telephone;may;326;1;no
158127;41;admin.;married;high.school;no;telephone;may;483;1;no
127503;55;technician;married;basic.4y;no;telephone;may;259;1;no
136546;30;blue-collar;married;basic.9y;no;telephone;may;227;1;no
114312;57;retired;unknown;basic.4y;no;telephone;may;673;1;no
174829;45;entrepreneur;married;basic.4y;yes;telephone;may;576;1;no
149120;51;blue-collar;married;basic.4y;yes;telephone;may;180;2;no
132816;39;self-employed;single;basic.9y;yes;telephone;may;90;1;no
162979;47;admin.;married;high.school;no;telephone;may;505;1;no
114508;27;services;married;high.school;yes;telephone;may;245;1;no
148537;34;technician;single;university.degree;yes;telephone;may;186;1;no
166175;57;blue-collar;married;basic.4y;yes;telephone;may;208;1;no
196353;43;entrepreneur;married;basic.4y;no;telephone;may;623;1;no
112296;49;blue-collar;married;basic.4y;no;telephone;may;180;1;no
115183;39;management;married;university.degree;no;telephone;may;496;3;no
102919;38;blue-collar;married;basic.4y;yes;telephone;may;118;1;no
124065;49;blue-collar;married;basic.9y;no;telephone;may;102;2;no
174274;58;management;married;basic.6y;no;telephone;may;342;1;no
192594;43;technician;married;professional.course;yes;telephone;may;225;1;no
118769;50;unknown;married;unknown;yes;telephone;may;185;3;no
181169;31;services;married;high.school;no;telephone;may;276;1;no
119898;43;self-employed;divorced;university.degree;no;telephone;may;87;1;no
131662;43;self-employed;married;basic.9y;no;telephone;may;744;1;no
115264;30;self-employed;single;university.degree;yes;telephone;may;262;1;no
125350;27;services;single;professional.course;yes;telephone;may;271;1;no
160104;51;services;married;unknown;no;telephone;may;141;1;no
187267;37;technician;married;professional.course;yes;telephone;may;198;2;no
102841;46;housemaid;married;basic.9y;yes;telephone;may;150;1;no
147564;35;blue-collar;married;professional.course;no;telephone;may;241;1;no
138146;47;admin.;divorced;university.degree;no;telephone;may;196;1;no
117469;46;management;married;unknown;yes;telephone;may;149;1;no
174706;40;technician;married;professional.course;no;telephone;may;264;1;no
161763;26;housemaid;married;university.degree;no;telephone;may;246;1;no
176582;32;blue-collar;divorced;basic.9y;no;telephone;may;309;2;no
175639;45;management;married;university.degree;yes;telephone;may;140;1;no
105812;34;admin.;married;basic.9y;no;telephone;may;175;1;no
125190;47;blue-collar;married;unknown;no;telephone;may;136;1;no
127191;42;technician;married;professional.course;no;telephone;may;1623;1;yes
131153;57;technician;married;basic.4y;no;telephone;may;50;1;no
174960;57;technician;married;basic.4y;no;telephone;may;101;1;no
137200;38;blue-collar;married;basic.4y;no;telephone;may;144;1;no
107349;57;technician;married;basic.4y;no;telephone;may;238;1;no
101443;28;student;single;basic.9y;yes;telephone;may;354;1;no
